Net Id, Layer Id,Profile Layer Id,Layer Name,Layer Type,DLD DDR Read(byte),DSTR DDR Write(byte),WLD DDR Read(byte),Original Ops(Times),Core Ops(Times)
NetNnn0,Total,--,--,--,15548480,10929680,3072592,8339596800,10105323520
NetNnn0,Layer0,0,images,Preprocess,1228800,0,0,0,0
NetNnn0,Layer1,0,/model.0/conv/Conv,Convolution,0,0,432,88473600,235929600
NetNnn0,Layer2,0,/model.1/conv/Conv,Convolution,0,0,4608,235929600,235929600
NetNnn0,Layer3,0,/model.2/cv1/conv/Conv,Convolution,0,819200,1024,52428800,52428800
NetNnn0,Layer4,1,/model.2/Split_bridge_/model.2/Concat_nop_0,Nop,819200,0,0,0,0
NetNnn0,Layer5,1,/model.2/Split_bridge_/model.2/Concat_nop_1,Nop,819200,0,0,0,0
NetNnn0,Layer6,1,/model.2/m.0/cv1/conv/Conv,Convolution,0,0,2304,117964800,117964800
NetNnn0,Layer7,1,/model.2/m.0/cv2/conv/Conv,Convolution,0,0,2304,117964800,117964800
NetNnn0,Layer8,1,/model.2/m.0/Add,Eltwise,0,0,0,0,0
NetNnn0,Layer9,1,/model.2/Concat,Concat,0,0,0,0,0
NetNnn0,Layer10,1,/model.2/cv2/conv/Conv,Convolution,0,0,1536,78643200,78643200
NetNnn0,Layer11,1,/model.3/conv/Conv,Convolution,0,0,18432,235929600,235929600
NetNnn0,Layer12,1,/model.4/cv1/conv/Conv,Convolution,0,409600,4096,52428800,52428800
NetNnn0,Layer13,2,/model.4/Split_bridge_/model.4/Concat_nop_0,Nop,409600,0,0,0,0
NetNnn0,Layer14,2,/model.4/Split_bridge_/model.4/Concat_nop_1,Nop,409600,0,0,0,0
NetNnn0,Layer15,2,/model.4/m.0/cv1/conv/Conv,Convolution,0,0,9216,117964800,117964800
NetNnn0,Layer16,2,/model.4/m.0/cv2/conv/Conv,Convolution,0,0,9216,117964800,117964800
NetNnn0,Layer17,2,/model.4/m.0/Add,Eltwise,0,0,0,0,0
NetNnn0,Layer18,2,/model.4/m.1/cv1/conv/Conv,Convolution,0,0,9216,117964800,117964800
NetNnn0,Layer19,2,/model.4/m.1/cv2/conv/Conv,Convolution,0,0,9216,117964800,117964800
NetNnn0,Layer20,2,/model.4/m.1/Add,Eltwise,0,0,0,0,0
NetNnn0,Layer21,2,/model.4/Concat_bridge_0_0,Nop,0,0,0,0,0
NetNnn0,Layer22,2,/model.4/Concat,Concat,0,0,0,0,0
NetNnn0,Layer23,2,/model.4/cv2/conv/Conv,Convolution,0,409600,8192,104857600,104857600
NetNnn0,Layer24,2,/model.5/conv/Conv,Convolution,0,0,73728,235929600,283115520
NetNnn0,Layer25,2,/model.6/cv1/conv/Conv,Convolution,0,204800,16384,52428800,62914560
NetNnn0,Layer26,3,/model.6/Split_bridge_/model.6/Concat_nop_0,Nop,204800,0,0,0,0
NetNnn0,Layer27,4,/model.6/Split_bridge_/model.6/Concat_nop_1,Nop,204800,0,0,0,0
NetNnn0,Layer28,5,/model.6/m.0/cv1/conv/Conv,Convolution,204800,0,36864,117964800,141557760
NetNnn0,Layer29,6,/model.6/m.0/cv2/conv/Conv,Convolution,0,0,36864,117964800,141557760
NetNnn0,Layer30,7,/model.6/m.0/Add,Eltwise,204800,0,0,0,0
NetNnn0,Layer31,8,/model.6/m.1/cv1/conv/Conv,Convolution,0,0,36864,117964800,141557760
NetNnn0,Layer32,9,/model.6/m.1/cv2/conv/Conv,Convolution,0,0,36864,117964800,141557760
NetNnn0,Layer33,10,/model.6/m.1/Add,Eltwise,0,0,0,0,0
NetNnn0,Layer34,11,/model.6/Concat_bridge_0_0,Nop,0,0,0,0,0
NetNnn0,Layer35,12,/model.6/Concat,Concat,0,0,0,0,0
NetNnn0,Layer36,13,/model.6/cv2/conv/Conv,Convolution,0,204800,32768,104857600,125829120
NetNnn0,Layer37,14,/model.7/conv/Conv,Convolution,0,0,294912,235929600,377487360
NetNnn0,Layer38,15,/model.8/cv1/conv/Conv,Convolution,0,102400,65536,52428800,83886080
NetNnn0,Layer39,16,/model.8/Split_bridge_/model.8/Concat_nop_0,Nop,102400,0,0,0,0
NetNnn0,Layer40,17,/model.8/Split_bridge_/model.8/Concat_nop_1,Nop,102400,0,0,0,0
NetNnn0,Layer41,18,/model.8/m.0/cv1/conv/Conv,Convolution,102400,0,147456,117964800,188743680
NetNnn0,Layer42,19,/model.8/m.0/cv2/conv/Conv,Convolution,0,0,147456,117964800,188743680
NetNnn0,Layer43,20,/model.8/m.0/Add,Eltwise,102400,0,0,0,0
NetNnn0,Layer44,21,/model.8/Concat,Concat,0,0,0,0,0
NetNnn0,Layer45,22,/model.8/cv2/conv/Conv,Convolution,0,0,98304,78643200,125829120
NetNnn0,Layer46,23,/model.9/cv1/conv/Conv,Convolution,0,0,32768,26214400,41943040
NetNnn0,Layer47,24,/model.9/m/MaxPool,PoolingMax,0,0,0,2560000,32768000
NetNnn0,Layer48,25,/model.9/m_1/MaxPool,PoolingMax,0,0,0,2560000,32768000
NetNnn0,Layer49,26,/model.9/m_2/MaxPool,PoolingMax,0,0,0,2560000,32768000
NetNnn0,Layer50,27,/model.9/Concat_bridge_2_0,Nop,0,0,0,0,0
NetNnn0,Layer51,28,/model.9/Concat_bridge_1_0,Nop,0,0,0,0,0
NetNnn0,Layer52,29,/model.9/Concat,Concat,0,0,0,0,0
NetNnn0,Layer53,30,/model.9/cv2/conv/Conv,Convolution,0,0,131072,104857600,167772160
NetNnn0,Layer54,31,/model.10/Resize,Upsample,0,409600,0,0,0
NetNnn0,Layer55,32,/model.20/Concat_bridge_0_0,Nop,0,102400,0,0,0
NetNnn0,Layer56,33,/model.11/Concat,Concat,614400,0,0,0,0
NetNnn0,Layer57,33,/model.12/cv1/conv/Conv,Convolution,0,204800,49152,157286400,188743680
NetNnn0,Layer58,34,/model.12/Split_bridge_/model.12/Concat_nop_0,Nop,204800,0,0,0,0
NetNnn0,Layer59,35,/model.12/Split_bridge_/model.12/Concat_nop_1,Nop,204800,0,0,0,0
NetNnn0,Layer60,36,/model.12/m.0/cv1/conv/Conv,Convolution,204800,0,36864,117964800,141557760
NetNnn0,Layer61,37,/model.12/m.0/cv2/conv/Conv,Convolution,0,0,36864,117964800,141557760
NetNnn0,Layer62,38,/model.12/Concat,Concat,0,0,0,0,0
NetNnn0,Layer63,39,/model.12/cv2/conv/Conv,Convolution,0,204800,24576,78643200,94371840
NetNnn0,Layer64,40,/model.13/Resize,Upsample,0,819200,0,0,0
NetNnn0,Layer65,41,/model.17/Concat_bridge_0_0,Nop,204800,204800,0,0,0
NetNnn0,Layer66,42,/model.14/Concat,Concat,1228800,0,0,0,0
NetNnn0,Layer67,42,/model.15/cv1/conv/Conv,Convolution,0,409600,12288,157286400,157286400
NetNnn0,Layer68,43,/model.15/Split_bridge_/model.15/Concat_nop_0,Nop,409600,0,0,0,0
NetNnn0,Layer69,43,/model.15/Split_bridge_/model.15/Concat_nop_1,Nop,409600,0,0,0,0
NetNnn0,Layer70,43,/model.15/m.0/cv1/conv/Conv,Convolution,0,0,9216,117964800,117964800
NetNnn0,Layer71,43,/model.15/m.0/cv2/conv/Conv,Convolution,0,0,9216,117964800,117964800
NetNnn0,Layer72,43,/model.15/Concat,Concat,0,0,0,0,0
NetNnn0,Layer73,43,/model.15/cv2/conv/Conv,Convolution,0,409600,6144,78643200,78643200
NetNnn0,Layer74,43,/model.16/conv/Conv,Convolution,0,0,36864,117964800,141557760
NetNnn0,Layer75,43,/model.17/Concat,Concat,0,0,0,0,0
NetNnn0,Layer76,43,/model.18/cv1/conv/Conv,Convolution,0,204800,24576,78643200,94371840
NetNnn0,Layer77,44,/model.18/Split_bridge_/model.18/Concat_nop_0,Nop,204800,0,0,0,0
NetNnn0,Layer78,45,/model.18/Split_bridge_/model.18/Concat_nop_1,Nop,204800,0,0,0,0
NetNnn0,Layer79,46,/model.18/m.0/cv1/conv/Conv,Convolution,204800,0,36864,117964800,141557760
NetNnn0,Layer80,47,/model.18/m.0/cv2/conv/Conv,Convolution,0,0,36864,117964800,141557760
NetNnn0,Layer81,48,/model.18/Concat,Concat,0,0,0,0,0
NetNnn0,Layer82,49,/model.18/cv2/conv/Conv,Convolution,0,204800,24576,78643200,94371840
NetNnn0,Layer83,50,/model.19/conv/Conv,Convolution,0,0,147456,117964800,188743680
NetNnn0,Layer84,51,/model.20/Concat,Concat,102400,0,0,0,0
NetNnn0,Layer85,52,/model.21/cv1/conv/Conv,Convolution,0,102400,98304,78643200,125829120
NetNnn0,Layer86,53,/model.21/Split_bridge_/model.21/Concat_nop_0,Nop,102400,0,0,0,0
NetNnn0,Layer87,54,/model.21/Split_bridge_/model.21/Concat_nop_1,Nop,102400,0,0,0,0
NetNnn0,Layer88,55,/model.21/m.0/cv1/conv/Conv,Convolution,102400,0,147456,117964800,188743680
NetNnn0,Layer89,56,/model.21/m.0/cv2/conv/Conv,Convolution,0,0,147456,117964800,188743680
NetNnn0,Layer90,57,/model.21/Concat,Concat,0,0,0,0,0
NetNnn0,Layer91,58,/model.21/cv2/conv/Conv,Convolution,0,0,98304,78643200,125829120
NetNnn0,Layer92,59,/model.22/cv2.2/cv2.2.0/conv/Conv,Convolution,0,0,147456,117964800,188743680
NetNnn0,Layer93,60,/model.22/cv2.2/cv2.2.1/conv/Conv,Convolution,0,0,36864,29491200,47185920
NetNnn0,Layer94,61,/model.22/cv2.2/cv2.2.2/Conv,Convolution,0,0,4096,3276800,5242880
NetNnn0,Layer95,62,/model.22/Reshape_2,Reshape,0,25600,0,0,0
NetNnn0,Layer96,63,/model.22/cv3.2/cv3.2.0/conv/Conv,Convolution,0,0,147456,117964800,188743680
NetNnn0,Layer97,64,/model.22/cv3.2/cv3.2.1/conv/Conv,Convolution,0,0,36864,29491200,47185920
NetNnn0,Layer98,65,/model.22/cv3.2/cv3.2.2/Conv,Convolution,0,0,64,51200,1310720
NetNnn0,Layer99,66,/model.22/Reshape_5,Reshape,0,400,0,0,0
NetNnn0,Layer100,67,/model.22/cv4.2/cv4.2.0/conv/Conv,Convolution,0,0,36864,29491200,47185920
NetNnn0,Layer101,68,/model.22/cv4.2/cv4.2.1/conv/Conv,Convolution,0,0,2304,1843200,2949120
NetNnn0,Layer102,69,/model.22/cv4.2/cv4.2.2/Conv,Convolution,0,0,240,192000,655360
NetNnn0,Layer103,70,/model.22/Reshape_8,Reshape,0,6000,0,0,0
NetNnn0,Layer104,71,/model.22/cv2.1/cv2.1.0/conv/Conv,Convolution,204800,0,73728,235929600,283115520
NetNnn0,Layer105,72,/model.22/cv2.1/cv2.1.1/conv/Conv,Convolution,0,0,36864,117964800,141557760
NetNnn0,Layer106,73,/model.22/cv2.1/cv2.1.2/Conv,Convolution,0,122880,4096,13107200,15728640
NetNnn0,Layer107,74,/model.22/Reshape_1,Reshape,122880,102400,0,0,0
NetNnn0,Layer108,75,/model.22/cv3.1/cv3.1.0/conv/Conv,Convolution,204800,0,73728,235929600,283115520
NetNnn0,Layer109,76,/model.22/cv3.1/cv3.1.1/conv/Conv,Convolution,0,0,36864,117964800,141557760
NetNnn0,Layer110,77,/model.22/cv3.1/cv3.1.2/Conv,Convolution,0,0,64,204800,3932160
NetNnn0,Layer111,78,/model.22/Reshape_4,Reshape,0,1600,0,0,0
NetNnn0,Layer112,79,/model.22/cv4.1/cv4.1.0/conv/Conv,Convolution,204800,0,18432,58982400,70778880
NetNnn0,Layer113,80,/model.22/cv4.1/cv4.1.1/conv/Conv,Convolution,0,0,2304,7372800,8847360
NetNnn0,Layer114,81,/model.22/cv4.1/cv4.1.2/Conv,Convolution,0,0,240,768000,1966080
NetNnn0,Layer115,82,/model.22/Reshape_7,Reshape,0,24000,0,0,0
NetNnn0,Layer116,83,/model.22/cv2.0/cv2.0.0/conv/Conv,Convolution,409600,0,36864,471859200,471859200
NetNnn0,Layer117,84,/model.22/cv2.0/cv2.0.1/conv/Conv,Convolution,0,0,36864,471859200,471859200
NetNnn0,Layer118,85,/model.22/cv2.0/cv2.0.2/Conv,Convolution,0,409600,4096,52428800,52428800
NetNnn0,Layer119,86,/model.22/Reshape,Reshape,409600,409600,0,0,0
NetNnn0,Layer120,87,/model.22/Concat,Concat,537600,0,0,0,0
NetNnn0,Layer121,87,/model.22/Concat_output_0_nop_0_0,Nop,0,537600,0,0,0
NetNnn0,Layer122,88,/model.22/dfl/Transpose,Permute,537600,537600,0,0,0
NetNnn0,Layer123,89,/model.22/dfl/Softmax,Softmax,537600,537600,0,0,0
NetNnn0,Layer124,90,/model.22/dfl/Transpose_1,Permute,537600,537600,0,0,0
NetNnn0,Layer125,91,/model.22/dfl/conv/Conv,Convolution,537600,0,16,1075200,34406400
NetNnn0,Layer126,92,/model.22/dfl/Reshape_1,Reshape,0,0,0,0,0
NetNnn0,Layer127,93,/model.22/Slice,Crop,0,0,0,0,0
NetNnn0,Layer128,94,/model.22/Sub,BinaryMath,0,0,0,0,0
NetNnn0,Layer129,95,/model.22/Slice_1,Crop,0,0,0,0,0
NetNnn0,Layer130,96,/model.22/Add_1,BinaryMath,0,0,0,0,0
NetNnn0,Layer131,97,/model.22/Add_2,Eltwise,0,0,0,0,0
NetNnn0,Layer132,98,/model.22/Div_1,BinaryMath,0,0,0,0,0
NetNnn0,Layer133,99,/model.22/Sub_1,Eltwise,0,0,0,0,0
NetNnn0,Layer134,100,/model.22/Concat_3,Concat,0,0,0,0,0
NetNnn0,Layer135,101,/model.22/Mul_2,BinaryMath,0,336000,0,0,0
NetNnn0,Layer136,102,/model.22/cv3.0/cv3.0.0/conv/Conv,Convolution,409600,0,36864,471859200,471859200
NetNnn0,Layer137,103,/model.22/cv3.0/cv3.0.1/conv/Conv,Convolution,0,0,36864,471859200,471859200
NetNnn0,Layer138,104,/model.22/cv3.0/cv3.0.2/Conv,Convolution,0,0,64,819200,13107200
NetNnn0,Layer139,105,/model.22/Reshape_3,Reshape,0,0,0,0,0
NetNnn0,Layer140,106,/model.22/Concat_1,Concat,2000,0,0,0,0
NetNnn0,Layer141,107,/model.22/Sigmoid,VectorCombine,0,336000,0,0,0
NetNnn0,Layer142,108,/model.22/cv4.0/cv4.0.0/conv/Conv,Convolution,409600,0,9216,117964800,117964800
NetNnn0,Layer143,109,/model.22/cv4.0/cv4.0.1/conv/Conv,Convolution,0,0,2304,29491200,29491200
NetNnn0,Layer144,110,/model.22/cv4.0/cv4.0.2/Conv,Convolution,0,96000,240,3072000,6553600
NetNnn0,Layer145,111,/model.22/Reshape_6,Reshape,96000,96000,0,0,0
NetNnn0,Layer146,112,/model.22/Concat_2,Concat,126000,0,0,0,0
NetNnn0,Layer147,113,/model.22/Reshape_9,Reshape,0,126000,0,0,0
NetNnn0,Layer148,114,/model.22/Mul_3,BinaryMath,126000,0,0,0,0
NetNnn0,Layer149,115,/model.22/Add_3,BinaryMath,0,0,0,0,0
NetNnn0,Layer150,116,/model.22/Mul_4,BinaryMath,0,0,0,0,0
NetNnn0,Layer151,117,/model.22/Sigmoid_1,VectorCombine,126000,0,0,0,0
NetNnn0,Layer152,118,/model.22/Concat_4,Concat,0,252000,0,0,0
NetNnn0,Layer153,119,/model.22/Reshape_10,Reshape,252000,336000,0,0,0
NetNnn0,Layer154,120,/model.22/Concat_5_report_0_0,Reportop,336000,672000,0,0,0
